Comment,Emotion
i feel fearful,Fear
i set my mind to wanting a specific item needing it for a specific event or at a specific time i find ill end up spending more than i want to because i feel pressured by constraints,Fear
i have reason to wonder to be confused to feel angered to say youre selfish to say youre cold,Anger
im getting things done that i really need to and i feel good about it,Joy
im guessing with everyone standing there she was feeling timid about moving through the crowd again,Fear
i feel more resolved and less like smoking my lungs today are obviously not very happy with me,Joy
i would veer from feeling utterly terrified to utterly disorientated to utterly queasy,Fear
i was feeling a bit rebellious today,Anger
i feel so rich when i pass by you i see a penny,Joy
i know there are days in which you feel distracted,Anger
i feel energetic and fresh and the great things is my eye sight has improved a lot,Joy
i actually feel hopeful today,Joy
i didn t walk the whole distance just sampled four or five stretches but i came home feel charmed by the experience,Joy
i nodded proud of my decision to procure a pump feeling slightly smug,Joy
i cant help but feel a little jubilant as i walk through the arrivals gate,Joy
i hadnt read on a blog before and you guys i feel thrilled that i know you at all,Joy
i feel like being sociable anymore,Joy
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,Anger
i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,Joy
i feel very passionate about a certain topic i love backing up my position with actual knowledge and facts instead of relying solely on opinions,Joy
i get changed i am feeling insecure,Fear
i am mostly feeling contentedly terrified about it all,Fear
im feeling rather inspired yet low i will enjoy my writing and even though i may be writing about morbid things i will find a way to make it interesting to read,Joy
i still feel annoyed and the older sd is always sick with something and i mean always,Anger
i have been feeling restless and not quite grounded,Fear
i feel rewarded and useful and valuable anyway,Joy
i was feeling so reluctant the whole day today the only thing that i feel like doing is just sticking my ass on the benches ground having heart to heart talks with my favs staring into space and nothing,Fear
i might feel a bit proud if i had one on my left wrist as this is a turbillion watch made in hong kong,Joy
i guess im just feeling a little rebellious,Anger
i have a very difficult time allowing people to do nice things for me without feeling either insulted or like i m in their debt,Anger
i feel indecisive on whether or not i feel the book huckleberry finn should be censored,Fear
im not too psyched about any of those stops but thats kind of a good thing because i wont feel pressured to go see and do everything there is to do and i can just hopefully relax and focus on making it fun for the kids which by extension makes it fun for me,Fear
i hate that feeling when im about to do something then i get scared and almost turn around and walk away,Fear
im so relieved and feel so much more like myself now that this is resolved this being almost nothing at all actually just some weird energy and i cant wait to be back at camp even though ill be hacking and coughing and spluttering all day long,Joy
i feel outraged about this type of thing,Anger
i have begun to feel as though i have valuable contributions and insights to make within a network of professionals,Joy
im currently struggling with feeling offended at my drs office worried about my body and what the heck is wrong very seriously contemplating getting my tubes tied and then the normal everyday things that occupy our minds at any given time,Anger
i cant sleep and re read happy posts and i go past the one about picnic day and i get so happy im like james you make me so happy i love you and then repeat as soon as i feel jealous,Anger
i want to tell him how i feel how disgusted i am that he can hurt my husband the way he does and then just laugh about it how he treats his grandchildren how he treated my husbands mum and just scream at him to stop being such a selfish bastard because the world does not revolve around him,Anger
i want to be recless but im feeling so uptight put your mamma in a headlock baby and do it right whooooos got the crack whooooooooos got the crack whooooo s got the crack whos got the craaaaaaack,Fear
i feel not heartless because my heart hurts so i still feel it i feel so much pain,Anger
im feelin spiteful so well actually visit my house to watch rally finland,Anger
i couldnt get to sleep i was feeling quite irritable and restless and every time i was dropping off to sleep a mosquito would land on my face or squeal around my ear,Anger
i miss her so much every moment but now i feel like i miss her even more like she is as far away as she has ever been because i am so distracted,Anger
i still feel like i was somehow one of the family members horribly wronged by the tragic events that have transpired today,Anger
i feel like i cant take it anymore i told my boyfriend and he is furious,Anger
i hate feeling that im so indecisive,Fear
i feel shy at the fact that i love these inanimate things,Fear
i wanted but knowing nothing about it i stepped into the candyland of make up looking haggard and left feeling radiant with a bag full of products of course,Joy
i am feeling a bit unsure about some of these im going to give it a try anyway,Fear
i feel they are sincere in wanting to resolve these grievances,Joy
i feel so weird about it,Fear
i am feeling very cranky this christmas,Anger
i could barely leave the house and i was feeling a lot of isolation and i hated the lack of control i had over my own life because everyone else i knew was moving on with theirs,Anger
i would feel like a hypocrite supporting palin for any of those reasons,Joy
i feel a bit strange publishing these beautiful photos,Fear
im a huge fan of both london grammar and disclosure so in my eyes this is just a perfect collaboration and it definitely helps to make me feel creative,Joy
i feel like a mouse among men perpetually terrified,Fear
ive started to delve deep into myself and evaluate everything that has made me feel insecure or unworthy,Fear
i feel so agitated about this,Fear
i was in a really good mood at work and was feeling playful,Joy
i am feeling grouchy,Anger
i began to feel less anxious,Fear
a few monthe ago,Anger
i was getting motivated about losing weight and getting healthy and wearing that outfit and feeling fantastic,Joy
i cant explain how i truly feel but some words that encapsulate some of my me ness currently ecstatic happy bouncy relieved energised in a mood to dance wanting chocolate wanting to socialise right now smiley and about here i lose words that express but bah so emo,Joy
i feel so peaceful so i know i made the right decision,Joy
i am a bit out of my comfort zone too and im feeling a tad apprehensive,Fear
i just do not feel uptight at all,Fear
i am back at home feeling irritable about that since ive been looking forward to the party all week,Anger
i scream every day and every night and no one hears and my face is starting to fall off and i feel anxious and frightened all the time and i don t think i know what anything means anymore,Fear
i feel jealous whenever it is in a relationship because i dont get to talk to it anymore,Anger
i stopped feeling intimidated when looking at a wod i guess that means i am learning how to find a right balance where to scale down and where to push harder,Fear
im not feeling outgoing and am in no mood to put the game face on and smooch,Joy
i just feel more resentful and tell myself it was better if i did not share with him,Anger
i found myself in the novel position of feeling a bit uncertain about the stock market rally,Fear
i just repeat it again and again until i feel myself become less afraid,Fear
i feel so ecstatic that i survived my comprehensive exams because i was never sure if i would survive not just pass but survive,Joy
i have really come up against some intense struggles since moving in here and i have to say i am very proud at the way we are giving each other the respect to feel however we need to feel mad stressed whatever and yet we still pull together to fix the issue,Anger
i feel terribly helpless sometimes but even with the limited spiritual awareness that i have i am able to find the answers as i know the end is not the outcome of my decision i ll be able to move on readjust pick up the pieces re centre myself or enjoy my decision,Fear
i am also aware that there is no glamour in them and sometimes i just want to feel glamourous you know,Joy
there was joy in me when i heard that i was to take a course as a medical assistant,Joy
i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,Anger
i sometimes feel shy about my musical taste because some of it wanders towards what some might call techno slander,Fear
i feel talented sometimes,Joy
i was feeling even less splendid and had nothing that needed to be done all day so i decided to baby myself,Joy
im feeling particularly benevolent today,Joy
im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,Fear
i feel festive,Joy
i just feel so disgusted with myself,Anger
i do feel a bit fearful that he might be feeling stressed to be drinking so much,Fear
i imagined its what zombies must feel like because each time i would wake up pissed,Anger
i feel about gift cards they re after thoughts and rude,Anger
i always get questions about blocking in my classes and its a topic i feel pretty passionately about as a knitter and as a teacher,Joy
i feel this way i withdraw become irritable,Anger
i like her a lot as a person but i cant help feeling less that what she is she has my dream jobs shes more sociable shes a combat trainer,Joy
i always feel pressured to socialize or i get eight missed calls and some texts from my host brother in the span of an hour,Fear
i was feeling pretty wimpy in it,Fear
i began to feel distressed and a feeling of sadness and a desire to kill myself,Fear
im more than ready to meet this little man but knowing that time is running out leaves me feeling a little apprehensive,Fear
i feel like how i m pissed that i have to spend an entire extra year in school because of stupid biochem,Anger
i cant believe this is the feeling i was so afraid of not disdain or hatred instead its just actual nothingness laced with a small dash of repulsion,Fear
i was having a horrible day and decided i would only feel better if i didnt have red hair anymore so i immedietly went to wal mart and found a box of hair color with the description soft dark brown,Joy
i feel like copying the handsome boy say yay so fun,Joy
i don t whoop and holler unless there s a special occasion going on but i was feeling suitably jubilant and a tad proud so out came the somewhat constipated yhhhay,Joy
i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,Anger
i wouldn t feel as offended as i do now because the sign would be accurate,Anger
i feel a lot of positive intention behind it,Joy
i was feeling irate and extremely uncomfortable,Anger
i go to my son s conference next week and i am already feeling nervous and apprehensive,Fear
i am living a joyful life and i feel this divine beings as part of my daily life,Joy
i feel like we rushed through this weekend,Anger
im thinking of locking myself in my house until i manage to get it all organized but i have a feeling i may become as cranky and isolated as this dear friend a href http,Anger
i know like the recommendation function in modern web shops while it feels a little bit strange to see the product you ve just searched for in a web shop on a totally different site s advertising,Fear
i feel petty even though the thoughts arent real fleshed out thoughts just these fluttering i should feel like this kind of thoughts,Anger
i feel but i m trying to be stubborn and ignorant at the same time so that i can keep going,Anger
i guess im feeling a bit vulnerable and looking for some input tonight,Fear
i feel less intimidated with her here to help,Fear
i leave his words feeling doubtful of the naight ever ending,Fear
im feeling very sarcastic today,Anger
i feel divine and strong,Joy
i don t want to feel dissatisfied i want to feel happy and fulfilled i don t want to feel i am lacking of something or nothing at all life would be so emptied,Anger
ive worn it once on its own with a little concealer and for the days im feeling brave but dont want to be pale then its perfect,Joy
i am feeling afraid cos he isnt answering me again,Fear
i asked him what was making him feel so fabulous and he said i m healthy my family is healthy and we live in a free country,Joy
i don t feel successful if that makes sense,Joy
i told im i didnt want him to feel uncomfortable,Fear
i feel like a rebellious year old that stands in the doorway flicking the lights off and on in the depths of my spirit,Anger
i feel like you will be completely satisfied with the results,Joy
i wish i could open up to people not feel so terrified of reactions and opinions,Fear
im feeling hesitant to put much else into words,Fear
im feeling rebellious amp ive missed the last couple of ffs on twitter so i thought id share two blogs that ive been loving recently,Anger
i was going for a sort of handheld cam feel lol that i was just delighted,Joy
i keep seeing facebook updates of friends who get to go and i am feeling rather envious,Anger
i feel happy about myself hes the reason why i am where i am today,Joy
i would feel resentful toward patrick because i couldnt read avery her nightly books with just her and me,Anger
i have nothing but respect for not only jerry sloan but the utah jazz as a whole i feel wronged that we were forced to stomach this series,Anger
i got a bit caught up in the moment and forgot that at the core of the rude comments and silly songs were the real feelings of a beloved and brilliant comic actor and a very sweet and big hearted young woman,Joy
i feel poles are most useful in pairs all price and stats in this review are for two poles,Joy
we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,Anger
i just feel as though somehow shes become less likeable,Joy
i feel have a fabulous birding weekend everyone,Joy
i feel like i ve been put in a bag and shaken up but otherwise ok,Fear
i feel like i have reached a plateau where im not buying as much as i use to and feeling more satisfied with my wardrobe and personal style,Joy
i feel carefree and weightless and yet worried and grounded all at the same time,Joy
i dont feel as carefree as i used to and this worrys me a tad,Joy
i think his uniform and glove make him feel very important too,Joy
i am feeling slightly apprehensive about tomorrow s crim exam that has a hefty weighting of but not to the point where i am sweating buckets or reaching for the razor blades,Fear
i would constantly feel agitated,Fear
i hate to feel threatened totally,Fear
i feel very annoyed with this kind of people who comment and try to be so philosophy on their religion,Anger
i feel like a vile traitor even saying such a thing but its the truth,Anger
i can t imagine that it is a newly developed tendency and the realization that i have made things so much harder on myself over the years leaves me feeling mad at myself,Anger
ive gone for my k training or a swim then i feel energised and be productive like actually cleaning my room,Joy
i understand that students must pass the mcas and fulfill other tasks but as idealized in freedom writers students will respond better learn and understand faster if they feel respected and valued and if they are excited about their education,Joy
i feel so welcomed,Joy
i feel everything around me is fucked everyone around me is falling to pieces,Anger
i can feel myself slowly uncoiling from the fearful place inside and enjoying the time as i hope he can enjoy it and starting to actually swim around a bit rather than just walk in the water,Fear
im feeling paranoid already,Fear
ive got all those books and i feel reluctant to sell them,Fear
i am feeling generous so you can pick any reason you like but make sure you take your wise mothers advice so i dont feel the need to drag all this to court,Joy
i write him when something big has happened like a fun trip or milestone and other times i just write him to tell him how im feeling about his sweet baby snuggles or growing personality,Joy
i feel a little bit weird,Fear
i posed in cutesy vintage ways all the time feeling absolutely freaking fabulous,Joy
id feel better,Joy
i do feel a little confused about my reproductive future do i want another baby deep down,Fear
i acted like a little girl by acting cute towards you asking if you wanna share a diary with me amp you said youre still feeling pissed and you want me to stop adding the problems and make things hard for us,Anger
i am left feeling unsure and confused,Fear
i know you do but i m feeling impatient cause i asked you a question in mine and i m waiting for an answer,Anger
i am thinking about md who was there for me through my teen years offering guidance and support and making me feel special making me feel like i matter,Joy
i feel like im tortured like years ago,Fear
i get the feeling shes amused by all of this,Joy
i feeling distressed,Fear
i need to move past the grief and maybe even feel angry,Anger
i feel privileged to have narrated erik princes autobiography civilian warriors the inside story of blackwater and the unsung heroes of the war on terror which will be released this monday nov th,Joy
i can get away these days with the gag line when i feel like being sarcastic that i feel sorry for anyone who wasn t fortunate enough to be born mexican,Anger
i am sure everyone of us felt that feeling at least once while some of us might get agitated easily,Anger
i don t feel greedy of worldly things so it s not a big deal,Anger
i feel the reader will get confused with because it bounces and uses references from its earliest time period which is like the dawn of time till now,Fear
i giggle nervously when i feel threatened,Fear
i wanted it to feel special for all the guests that alise and jeremy chose,Joy
i am thrilled for a lot of these things i feel petrified,Fear
i am happy with the news comeback i am feeling agitated with some fangirls,Anger
im feeling reluctant to change anything because it is all working so well,Fear
i feel that the father wants to tell you that he is pleased with you,Joy
i do like hearing about ministries that reach out to people that need it but one concern i have is that they may feel pressured to except jesus into their hearts by accepting care from the ministries,Fear
ive been feeling a bit pressured because theres so little time left for two books,Fear
i feel wonderful monroe said upon the launch of her company im incorporated,Joy
i made an appointment with a friend to drink coffee togehter however,Anger
i dont know if you guys can relate but i always like to feel welcomed and see a smiling face when im having a spa treatment,Joy
i am feeling like it might look just a little suspicious if i go home and dont meet with him,Fear
i feel vaguely frustrated with the extent that thoughts about cycling invade the space in my mind,Anger
i can feel the cold of winter,Anger
i feel eager to tell my parents,Joy
ive always been feeling restless and dissatisfied with our relationship,Fear
i never feel ecstatic or bouncy or anxious,Joy
i feel uncertain about everything,Fear
i hope that one day i feel some sort of divine inspiration and motivation and that these fasts will come easy for me but for now they are on my back burner something i hope to focus on after i am done having and raising children,Joy
im feeling generous enough to give the rest of my supporters ebooks too,Joy
i watch hgtv and i feel like im not that talented,Joy
i will tell you honestly that children generally can be very trying for me but when it comes to being a support to help them overcome circumstances and rise above it i feel my experience in that field is valuable and beneficial,Joy
i do feel irritated at times because he tried to hold me and stuff ill push away or not throw temper and shout at him,Anger
i did wake up this morning feeling more like myself so after days of sloth i was keen to get geared up and head to higher altitudes,Joy
i feel as though my own snowglobe is being shaken and im still flying through the air,Fear
i did not care much about the number of viewers and the viewer ratings before but as the drama iris gained huge success i began to feel greedy about being successful,Anger
i started feeling shaky hungry,Fear
i still feel incredibly frustrated by it,Anger
im feeling more vulnerable writing about this than i do writing about my melt downs mishaps and toddler challenges,Fear
i feel eager and anxious and antsy in regards to it,Joy
i feel infuriated every time that the christmas season draws near,Anger
i feel i wear what i wear to show other girls at my school who are timid when it comes to fashion that you won t look weird if you walk around with your head held high,Fear
i guess im not ready for that still young and feeling rebellious,Anger
i sing i feel weird,Fear
i feel shy to him all the time,Fear
i havent written in awhile and it feels terrific to scribble stuff down in a notebook from time to time,Joy
i want to feel playful and open and vulnerable and have a great time,Joy
i ask her what shed like to do and she just says she doesnt mind so i am always making suggestions and just feel like im having to try every day to keep her entertained,Joy
i would not feel as shaken if i were appreciated for at least a tiny bit,Fear
i try to approach this thing called nature which is something im feeling a bit envious about,Anger
i saw kyuhyun in the crowd today while i was strolling through apgujeong with hyunjin the woman breathed feeling every bit sceptical at her own words,Fear
i guess that s where the phrase down in the dumps comes from try this think of something that is mildly upsetting for you some sort of negative emotion perhaps you were stuck in traffic or there was something on the news this morning that made you feel a bit grumpy,Anger
im typing all of these im blowing my nose and feeling extremely cranky,Anger
ive been more vocal about how i feel what i think and am convinced that i will not let anyone walk all over me or let my opinion not matter,Joy
i just wanna say that the last three months i feel so happy about my blog,Joy
i asked if anyone has ever confessed their feelings for someone and got accepted rejected,Joy
i feel that i am not important enough to live not worthy enough to struggle any longer no one will miss me or even care that i have gone,Joy
i just know i feel like i m on potentially shaky ground,Fear
i had envisioned and intended im just feeling unsure whether i got that vision and intention right,Fear
i hate that feeling and its making me antsy and irritable,Anger
i feel so blessed to have both lisa and god as friends in this life,Joy
i want to be able to get into it without feeling weird in a bathing suit,Fear
i feel fucked up on the inside,Anger
one of my very good friends came to me for advice as her boyfriend had been hitting her and beating her quite harmfully,Anger
i have the feeling i am going to be tortured tonight,Fear
i acknowledge that i am not actually fat by definition but feeling uncomfortable in my skin,Fear
ive heard so how are you feeling so many times and discussed my uncertain future with so many people that the conversations are blending together,Fear
i feel like we just rushed around trying to see things its still quite beautiful,Anger
i have been taking alot of xanax lately and mixing meds together to feel mellow enough to deal with the world,Joy
im feeling cranky im not going to lie,Anger
i feel helpless because i cant protect my family he adds,Fear
i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors,Joy
im feeling scared im going to treat this as sacred something valuable to venerate and pretend im like a cat,Fear
i an expert on feeling rushed and anxious on getting worked up and frustrated because i feel overwhelmed with my job,Anger
i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,Joy
i do feel agitated restless or on edge quite often,Anger
i instantly feel anxious that a police officer is going to pull me over,Fear
i feel so cranky right now,Anger
i am feeling fearful or upset about any situation in my life i have only to notice my reminder sitting right before me and i begin repeating this affirmation over and over again,Fear
i feel all mellow and calm,Joy
i feeling suspicious i snooped computer,Fear
ive vented and cried and now im a little more calm and feeling less hostile,Anger
i have been in my mm comfort zone for too long and i feel the need to get a bit more creative with my composition,Joy
i really like it a lot and think its a great fit for me and i love talking to the patients and trying to help them feel less nervous or at least that someone cares about them for a few minutes,Fear
i wound up feeling pleased with how tightly paced the film is,Joy
i feel like a heartless and feelingless i know don t have this word daughter teenager,Anger
i feel reluctant to join the class trip to beijing,Fear
im pretty happy but a little on the nauseated side to feel thrilled,Joy
i feel like im putting an innocent man on death row,Joy
i think of what dharavi means for mumbai and the country if you keep the annual turnovers aside for a while i feel agitated,Anger
i love that she doesnt always feel brave,Joy
i go to sleep i feel as if i m giving up precious time to do something else with my life,Joy
im so stoned on endorphin that all i can feel is my leg muscles seizing into petrified meat,Fear
i put forward to all their social diktats make them feel i am rebellious towards their authority,Anger
i go from your presence from praying for wisdom and patience and feel so instantly furious,Anger
i feel like a petty murder shoudlnt be punished nearly as heavily as human beings who are constantly shitty to other human beings,Anger
i was feeling super pressed for time the other day i did cut back on the amount of time i meditated but i didn t skip it altogether,Joy
i straight away started to feel my blood boil anger coming over me and that very nerve getting agitated,Anger
i feel content just because of the weather,Joy
im feeling stressed retail therapy is the way,Anger
i know at this point is im starting to feel doubtful of the decisions i made,Fear
i need to listen to a song where i can be angry and feel accepted at the same time,Joy
i hardly feel that way m usually hyper and bouncy around everyone,Joy
i feel more intelligent and strong,Joy
i shared with a trusted friend how i am feeling towards another respected friend,Joy
i feel like its not worth trusting him,Joy
i also feel that the people in the village friendly and i do not need to be as alert as in manila though as the common sense rule still stays that is not to let your guard down,Joy
i need to be just as open with them as i am with some of my friends when i feel that they have wronged me,Anger
i have a feeling he s going to start popping up all over primetime with his innocent kid potential murderer face,Joy
i play it i have more different feelings around a cold grim back drop,Anger
i do not do these things to torture you i am feeling tortured myself at the moment,Anger
i checked out the lyrics i realized that this song was talking about getting high and dreaming it supposedly inspires creativity and makes you feel real good,Joy
i just feel like if i don t suffer to produce something then it s not worthwhile,Joy
i was feeling so carefree and wanted to go and have some fun,Joy
i was in seoul i could help but feel jealous,Anger
i came into this quarter feeling really invigorated and now because of work im back to where i was at the end of spring quarter not sleeping not eating well not taking care of myself not doing good work,Joy
i did not do all this to feel pretty might i add,Joy
i feel like those rich people all fall into the category of don t belong when i see them on the bus,Joy
i was feeling productive,Joy
i can tell you the things i don t feel that maybe i should be feeling but i can t really put my finger on the cause of my being shaken,Fear
i know now makes me feel outraged,Anger
i take things very personally when i feel wronged even little memories stay with me,Anger
i no longer feel happy to score well,Joy
i cant abide the political mess the country is in though i feel equally enraged about the state of uk politics,Anger
i feel there are some who still wants us together and i im being rebellious,Anger
i somehow feel distraught and hopeless,Fear
i feel extremely jealous when ranbir works with other directors ayan mukerji filmfare,Anger
im feeling agitated and pour more brandy on my coffee,Fear
i start to feel agitated,Anger
i was thinking about going out to dinner but im feeling like i might not be bothered too,Anger
i feel fantastic and i find that i have a renewed sense of strength and endurance,Joy
i don t know why it is that i feel awkwardly hesitant to return to melbourne,Fear
i feel time is running out so i m not bothered with myself now,Anger
i only need to feel respected and safe,Joy
i answered feeling rather skeptical,Fear
i want to feel like i m reading something worthwhile,Joy
i feels dangerous these days but with cam newton at home plus a point i m feeling the panthers in prime time,Anger
i do not feel reassured anxiety is on each side,Joy
i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc,Anger
i sometimes feel resentful that this has come into our lives at this time,Anger
i want to find my essence and my substance and not feel so scared and empty and dispersed fragmented etc,Fear
i feel times less bitchy,Anger
i do occassionally miss wearing regular earrings but i feel like my plugs have just become such a vital part of who i am that probably sounds so silly and youre rolling your eyes at me now haha,Joy
i was feeling quite impatient and must have hit the ad because thats when my internet died and vista virus pro started to bother me,Anger
i want him to feel uncertain and unsettled because he deserves it and maybe itll teach him a lesson,Fear
i still feel stressed,Anger
i finished checking in bruce had already left and yiling was just leaving so i don t feel i had a chance to properly thank them for being so considerate and making sure we got settled in,Joy
i feel that time frame is going properly i m keen on you plenty probably we could repeat this once more and then the lady may possibly grin at you as well as claim the girl loves as well,Joy
i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,Joy
i am feeling the strange mix of extremely proud relieved she is on the path to her fabulous future but gutted she has chosen to move out to live in halls of residence at uni,Fear
i feel like a woman should be respected at all times therefore i made the right decision he said,Joy
i feel cute i feel good,Joy
i somehow feel more vulnerable without it,Fear
i do feel angry,Anger
im not joking we had the feeling they were either extremely friendly or they hadnt seen a westerner before,Joy
i picked up feeling a little apprehensive,Fear
i feel you getting frantic close and just before you do you pull out and turn me around surprised i move easily for you,Fear
im feeling pretty comfortable,Joy
on the way down a ski slope which was difficult and steep,Fear
i feel as a child innocent feelings illustrating a,Joy
i feel more sociable these days,Joy
i necessarily believe in the power of rape whistles but i never got one and i feel grossly unprotected by my campus,Fear
i still feel somewhat dissatisfied with myself,Anger
i am by no means very claustrophobic when crunched up like that i can t help but feel a little agitated,Fear
i am not thinking about a certain person before i sleep i end up having strange dreams about him and when i wake up after those dreams i feel shaken and stunned,Fear
i feel tortured because i am not allowed to enjoy food the way my friend can,Anger
i feel that disdain from him when i acted as if id been wronged by him,Anger
i surround myself with bible verses that help me to transcend to a space where i feel safe and secure,Joy
i went home all alone from a restaurant it was dark,Fear
when i heard that my sister had shouted at my friends cousin at their place,Anger
in the army,Anger
i feel so petty who one of my first colleagues had not nice things to say about when i first asked for any contacts for investment banks from before i arrived at this job,Anger
i listen to dubstep when im feeling damn irritated,Anger
im feeling all bashful exposed and vulnerable because my blog crush is out in the open now,Fear
i feel like im assaulted by constant flakiness,Fear
i cant help but feel a little bit agitated,Fear
i feel like the thing that i call an artistic tendency in myself is really just laziness and narcissism justifying and strengthening each other,Joy
i bought this one a couple years ago and it makes you feel a little glamorous,Joy
i find when i look at things in this way i deal with the situation better and do not feel as agitated,Fear
i am feeling fairly uncertain about most things right this moment,Fear
i don t feel the issue is resolved,Joy
i feel like every day is a blur of running being irritated with my son and doing something pertaining to making dinn,Anger
i feel more joy and anticipation of all that is my divine right,Joy
i feel that i have lived long enough i am leaving you with your worries in this sweet cesspool,Joy
i signed the petition and knowing that it will be served in the next few days has left me feeling vulnerable as i am unsure about his reaction,Fear
i have never made the first step because the guys were alway faster this is why this situation is making me feel very unsure and elusively shy,Fear
i remember feeling excited about that particular day because i considered myself a grown up and woop,Joy
i feel more free to enjoy the possessions i do have like this rock or that book or these clothes,Joy
i feel so cold here,Anger
i had grand plans of baking through my two days off but i mostly ended up just curled up on the couch pouting about not feeling well,Joy
ive been feeling restless inside and i dont understand why,Fear
i didnt want aubrey to feel pressured or rushed into baptism but then i realized that she doesnt need to have a perfect knowledge in order to be baptized,Fear
im feeling like a tortured teen i decided to pile on the neon which was the shizz in my day,Fear
i wish i could help take the pain and anguish these families must be feeling innocent children killed while in school where they should be safe,Joy
i feel that it s worthwhile to patronize their restaurant,Joy
i hate these feelings of not being complacent,Joy
i have a feeling im going to be seriously envious of whoever wins because i really want this one all to myself,Anger
i hope i feel mellow well fed well slept at peace with myself within this external world,Joy
i only have to think about a high school experience and i instantly feel like that shy confused and terrorised teenager again,Fear
i feel like he is not so keen on the idea,Joy
i can begin to process the emotions i am also feeling from a pregnancy which would have been welcomed if it had been under different physical conditions but these thoughts are for my next blog,Joy
i even go further these subjects are not interesting to me in anyway because i m relating to them personally some example will be used with imaginary names to protect friend and family identity s please do not feel offended if u see your name,Anger
i totally passed this one up when it first appeared on xbla but it s now on sony s handheld and it feels like a pretty perfect fit,Joy
i am very i feel very privileged having said all that i am very privileged,Joy
i went up to the teacher and said im gonna step outside for a second im really not feeling too well,Joy
i denied my feelings amp claimed that we were less than what we were cause i was hesitant to jump into anything new,Fear
i feel quite frustrated,Anger
i move in to sit real close close enough to smell the cherry candy you ve been sucking on close enough to feel nervous,Fear
i would stay in charge thereby helping z to feel safe yet at the same time be nurturing and loving,Joy
i met up with some friends to watch the hockey game and headed off to a local pub called pig and duke ate some parmesan truffle wings not sure how i feel about those and some prawn lollipops delicious but terrible name,Joy
i just feel so overwhelmed by the feeling of balance that i just,Fear
i am also now down lbs so i feel so good i still have another to go at least well thats the plan anyway,Joy
i feel like it s going to be something shockingly amazing,Joy
i woke up feeling all frustrated and upset again re enacting the moment i had to succumb to the docs insults and arrogance for a favor to clarify truth about my health,Anger
i am pleased that only pgce qualified teachers can work here it makes the effort expense to gain mine feel worthwhile,Joy
i think too much about how i sit how my voice sounds if i ve gotten any food on my mouth and the feeling that i need to make my way around to everyone so as not to be rude,Anger
i feel is only acceptable when that violence could lessen much more violence this could also apply to what i am discussing below i,Joy
i couldnt help but feel a little out of place in our casual attire,Joy
i forgive myself that i have accepted adn allowed myself to feel uncertain and inferior the moment someobdy is looking at me as i do physical labour,Fear
i dont have to buy it in tubs which feels vile,Anger
i was feeling irritated and slightly upset after this conversation,Anger
ive worked really hard all year to try to make each child in the class feel like they are valued,Joy
i knew i was just feeling unsure amp scared and so i let it overpower me and i gave in to those feelings and gave up,Fear
i feel like the sequel was ok but overrated not as great as so many deem it to be,Joy
i am not an expert i am simply a filmmaker and i feel really uncomfortable speaking from a level higher than the audience especially when there are often real experts in the audience who know much more about medical and radiation issues than i do,Fear
i did not feel dangerous enough to get in,Anger
i have these random moments where i feel suddenly very creative and would love to sit down and hear the tick tick tick of the keyboard keys as my thoughts spilled out onto the screen,Joy
i feel more and more stressed,Anger
i let myself think about my behaviour towards you when we were children i feel a strange mix of guilt and admiration for your resilience,Fear
i may have spent the last hours feeling like a tortured soul but on the other side its all sunshine and rainbows,Fear
i feel that i ve been very gracious in not freaking out about finances so if you saw it fit to smooth things over monetarily i wouldn t say no,Joy
i walia feels suspicious about tarun and bani,Fear
i had coped for barely twenty four hours before i was feeling wrung out and distraught,Fear
i want to at least feel more intelligent and i believe becoming a well read person myself will help,Joy
i start to feel frantic where are the candles the matches the one flashlight thats actually ashers bug light no fans in the house move beds outside boys in the bath dont touch the candles goodbye meat in the fridge,Fear
i am left feeling happy about having the time to rest and take care of me but at the same time this huge sense of guilt builds up inside of me for not having respected our date for being an unreliable teacher a selfish friend,Joy
i drafted this post at least a month ago and now i m feeling quite uncertain about it,Fear
i simply dont want to and it makes me so mad because i want to be able to share these things with you but i feel like were so emotionally far apart now and it makes me mad and makes me unable to go to you,Anger
i am feeling a little intimidated by the riders in central park right now and i dont want to go,Fear
i feel a bit rude writing to an elderly gentleman to ask for gifts because i feel a bit greedy but what is christmas about if not mild greed,Anger
i find every body beautiful and only want people to feel vital in their bodies,Joy
i am a bit too impractical in thoughts as i feel that makes life less doubtful,Fear
i know just how you feel any ache pain in tummy i get frightened incase it em again,Fear
i feel blessed to have had years with him and i am thankful for all i learned from him,Joy
